51	Skolim - Co w Tobie jest
52	Modelki - On Me
53	Kizo Bletka - Hero
54	Bambi - IRL
55	Tribbs Kubańczyk - Tańcz
56	Maluba - Tańczymy
57	Vixa v0lt - Polskie wesele Remix 2026
58	Cycade - My Cyganie Techno Remix
59	Ronnie Ferrari - Ona by tak chciała
60	MiłyPan - Melodia
61	Krzysztof Krawczyk - Chciałem być Tribbs Remix
62	Maryla Rodowicz - Kolorowe Jarmarki 2026 Dance Edit
63	Bajm - Co mi Panie dasz Skytech Remix
64	Golec uOrkiestra - Ściernisko Summer Remix
65	Dżem - Whisky Reggaeton Mix
66	Lady Pank - Tańcząca Julia
67	Budka Suflera - Jolka Jolka Dance Radio Edit
68	Urszula - Konik na biegunach Club Mix
69	Chłopcy z Placu Broni - Kocham wolność Remix
70	Zbigniew Wodecki - Chałupy Welcome To Remix
71	Piękni i Młodzi - Kocham się w Tobie
72	Playboys - Tylko Ty
73	Defis - Niespotykana Kolorowa
74	MiłyPan Defis - Jeden Taniec Jedna Noc
75	Power Play - Co ma być to będzie
76	Łobuzy - Ona czuje we mnie piniądz
77	Czadoman - Chodź na kolana
78	Basta - Hej czy Ty wiesz
79	Joker Sequence - Zołza
80	Andre - Ale Ale Aleksandra
81	Wilki - Baśka
82	Big Cyc - Rudy się żeni
83	Poparzeni Kawą Trzy - Kawałek do tańca
84	Loka - Prawdziwe powietrze
85	Video - Idę na plażę
86	Mrozu - Jak nie my to kto
87	Bayer Full - Blondyneczka
88	Sławomir - Miłość w Zakopanem
89	Pogwizdani - Żono moja Góralska biesiada
90	Baciary - Siedem Czerwonych Róż
91	Sylwia Grzeszczak - Tamta dziewczyna
92	Grzegorz Hyży - O Pani
93	Ewa Farna - Na ostrzu
94	Margaret - Serce Baila
95	Natalia Szroeder - Powietrze
96	Lanberry - Co ja robię tu
97	Roxie Węgiel - Miasto
98	Sara James - Blue
99	Igo - Helena
100	Mery Spolsky - Bigotka
101	DJ KondiX - Polish Power Mix
102	MorenoX - Bass Cannon Wedding Edit
103	Tribbs - Se wezmę i pierdyknę
104	C-BooL - Never Go Away
105	Gromee - Follow You
106	Dirty Rush Gregor Es - Pressure
107	Tede - Wyścig szczurów Remix
108	Smolasty - Duże oczy
109	Malik Montana - Jetlag Clean Edit
110	Bletka - B012
